Customer_ID,Customer_Name,Cluster,Segment,Region,Country,Gender,Age,Total_Sales,Total_Orders,Avg_Order_Value,Customer_Lifetime,Purchase_Frequency,Profit_Margin,Last_Purchase_Days_Ago,Engagement_Score,Favorite_Product,Unique_Products_Bought,Total_Sales_Percentile,Total_Sales_Grade,Avg_Order_Value_Percentile,Avg_Order_Value_Grade,Purchase_Frequency_Percentile,Purchase_Frequency_Grade,Personalized_Description
AB-00363,Mcintyre Yedwab,0,Home Office,South,Chile,Female,30,8960.0,58,154.48,1068,0.0543,0.4612,13,124,Sneakers,21,31.69811320754717,D,42.45283018867924,C,31.69811320754717,D,客户 Mcintyre Yedwab (AB-00363) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Sneakers。 产品涉猎广泛，购买过多种不同类型的产品。
AB-00421,Whitney Yedwab,0,Corporate,South,Spain,Male,40,7840.0,45,174.22,1042,0.0432,0.4905,34,53,Fossil Watch,23,14.716981132075471,E,97.61006289308176,A,7.044025157232705,E,客户 Whitney Yedwab (AB-00421) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。
AB-004408,Cardenas Yedwab,0,Home Office,Central,Panama,Female,25,7747.0,49,158.1,1071,0.0458,0.4297,5,113,Casula Shoes,24,13.584905660377359,E,56.35220125786164,C,11.446540880503145,E,客户 Cardenas Yedwab (AB-004408) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Casula Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AH-00722,Garza Elijah,0,Home Office,South,Brazil,Female,21,8070.0,52,155.19,1071,0.0486,0.4637,10,114,Formal Shoes,25,17.9874213836478,E,45.40880503144654,C,16.666666666666664,E,客户 Garza Elijah (AH-00722) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AK-00157,Wyatt Pak,1,Home Office,North Asia,China,Female,26,9489.0,62,153.05,1081,0.0574,0.4623,0,145,Titak watch,26,41.63522012578616,C,37.295597484276726,D,39.937106918238996,D,客户 Wyatt Pak (AK-00157) 属于第 1 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Titak watch。 产品涉猎广泛，购买过多种不同类型的产品。
AK-003924,Baxter Pak,0,Home Office,West,United States,Female,53,9742.0,63,154.63,1048,0.0601,0.4383,2,133,Sports Wear,21,45.660377358490564,C,43.64779874213836,C,48.36477987421384,C,客户 Baxter Pak (AK-003924) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Sports Wear。 产品涉猎广泛，购买过多种不同类型的产品。
AL-001726,Henson Rozendal,1,Consumer,Central,United States,Male,46,10193.0,67,152.13,1072,0.0625,0.4489,5,88,Fossil Watch,32,53.081761006289305,C,33.58490566037736,D,57.23270440251572,C,客户 Henson Rozendal (AL-001726) 属于第 1 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。
AL-00484,Whitaker Nazzal,0,Consumer,Central,United States,Female,22,7694.0,55,139.89,1061,0.0518,0.4344,14,123,Suits,24,13.081761006289309,E,4.528301886792453,E,24.21383647798742,D,客户 Whitaker Nazzal (AL-00484) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Suits。 产品涉猎广泛，购买过多种不同类型的产品。
AM-001077,Hawkins Coram,0,Consumer,North Asia,Japan,Female,44,8882.0,56,158.61,1076,0.052,0.4677,4,125,Sports Wear,23,30.31446540880503,D,58.30188679245283,C,25.031446540880502,D,客户 Hawkins Coram (AM-001077) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Sports Wear。 产品涉猎广泛，购买过多种不同类型的产品。
AM-00129,Watkins Cunningham,0,Corporate,Central,Germany,Male,30,10498.0,61,172.1,1032,0.0591,0.4755,18,76,Jeans,26,59.30817610062893,C,95.53459119496856,A,45.534591194968556,C,客户 Watkins Cunningham (AM-00129) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：Jeans。 产品涉猎广泛，购买过多种不同类型的产品。
AM-001293,Kennedy Cheatham,0,Home Office,Canada,Canada,Female,32,9166.0,56,163.68,1034,0.0542,0.467,16,119,Formal Shoes,21,35.9748427672956,D,77.23270440251572,B,31.446540880503143,D,客户 Kennedy Cheatham (AM-001293) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Formal Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AM-001606,Barry Willingham,1,Corporate,North,Mexico,Male,26,11045.0,68,162.43,1075,0.0633,0.4596,1,72,T - Shirts,26,69.43396226415094,B,72.64150943396226,B,60.25157232704402,B,客户 Barry Willingham (AM-001606) 属于第 1 类用户群体。 这是一位中高价值客户，消费金额较为可观。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AM-0021,Barr Sundaresam,0,Consumer,Central Asia,India,Male,42,9498.0,59,160.98,1037,0.0569,0.448,39,78,Suits,26,42.0125786163522,C,66.47798742138365,B,38.42767295597484,D,客户 Barr Sundaresam (AM-0021) 属于第 0 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Suits。 产品涉猎广泛，购买过多种不同类型的产品。
AM-002270,Bauer Sundaresam,0,Consumer,South,Italy,Male,30,7973.0,52,153.33,1056,0.0492,0.4616,11,61,Sports Wear,28,16.9811320754717,E,38.17610062893082,D,17.79874213836478,E,客户 Bauer Sundaresam (AM-002270) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：Sports Wear。 产品涉猎广泛，购买过多种不同类型的产品。
AM-005401,Lucas Gillingham,1,Home Office,Africa,Nigeria,Female,25,12608.0,77,163.74,1042,0.0739,0.5232,31,169,Running Shoes,29,86.66666666666667,A,77.73584905660378,B,85.03144654088051,A,客户 Lucas Gillingham (AM-005401) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 购买频率高，复购行为明显。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务；邀请参与产品评测和新品试用。
AM-00548,Mckee Sundaresam,1,Home Office,North Asia,China,Male,20,12715.0,85,149.59,1080,0.0787,0.4527,1,116,Running Shoes,33,87.67295597484276,A,23.77358490566038,D,92.20125786163523,A,客户 Mckee Sundaresam (AM-00548) 属于第 1 类用户群体。 这是一位高价值客户，总消费金额排在前20%。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买频率高，复购行为明显。 最常购买的产品是：Running Shoes。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：提供VIP专属服务和优先配送；推荐忠诚度计划和定期购服务。
AM-006576,Ochoa Willingham,0,Consumer,EMEA,Russia,Female,23,7313.0,48,152.35,1044,0.046,0.4717,34,100,Sneakers,19,9.811320754716983,E,34.21383647798742,D,11.88679245283019,E,客户 Ochoa Willingham (AM-006576) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Sneakers。 产品涉猎广泛，购买过多种不同类型的产品。
AM-00720,Jacobson Willingham,0,Consumer,South,Spain,Female,22,6726.0,46,146.22,975,0.0472,0.4202,77,98,Casula Shoes,23,5.660377358490567,E,13.39622641509434,E,14.528301886792452,E,客户 Jacobson Willingham (AM-00720) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 较为活跃，最近90天内有过购买。 最常购买的产品是：Casula Shoes。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001066,Reeves Herman,0,Corporate,West,United States,Male,22,8543.0,51,167.51,1074,0.0475,0.505,7,54,T - Shirts,21,24.654088050314467,D,88.93081761006289,A,14.90566037735849,E,客户 Reeves Herman (AN-001066) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 购买力强，平均订单价值较高。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001125,Woodward Van,0,Consumer,North Asia,China,Male,20,8659.0,58,149.29,1034,0.0561,0.4778,16,79,T - Shirts,29,26.28930817610063,D,22.767295597484278,D,35.84905660377358,D,客户 Woodward Van (AN-001125) 属于第 0 类用户群体。 这是一位低价值客户，有较大的提升空间。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 最常购买的产品是：T - Shirts。 产品涉猎广泛，购买过多种不同类型的产品。
AN-001309,Vincent Peterman,1,Home Office,North,Mexico,Female,21,10006.0,66,151.61,1065,0.062,0.4574,16,155,Fossil Watch,25,49.937106918238996,C,31.82389937106918,D,55.40880503144654,C,客户 Vincent Peterman (AN-001309) 属于第 1 类用户群体。 这是一位中等价值客户。 客户关系已维持超过1年，属于长期忠实客户。 近期活跃，最近30天内有过购买。 互动积极，经常浏览、点赞和分享产品。 最常购买的产品是：Fossil Watch。 产品涉猎广泛，购买过多种不同类型的产品。 营销建议：邀请参与产品评测和新品试用。
