Customer ID,Customer Name,Segment,Country,Region,City,State,Gender,Age,Age Group,Education,Marital Status,Total_Orders,Total_Quantity,Total_Sales,Total_Profit,Total_Discount_Amount,Total_Net_Sales,Total_Shipping_Cost,Avg_Discount,First_Purchase_Date,Last_Purchase_Date,Customer_Lifetime_Days,Purchase_Days,Avg_Purchase_Interval_Days,Favorite_Product,Unique_Products_Purchased,Avg_Browsing_Time,Total_Likes,Total_Shares,Total_Add_to_Cart,Total_Engagement_Score,Critical_Orders,High_Orders,Low_Orders,Medium_Orders,Month_1_Orders,Month_2_Orders,Month_3_Orders,Month_4_Orders,Month_5_Orders,Month_6_Orders,Month_7_Orders,Month_8_Orders,Month_9_Orders,Month_10_Orders,Month_11_Orders,Month_12_Orders,Avg_Order_Value,Avg_Order_Profit,Avg_Order_Quantity,Profit_Margin,Shipping_Cost_Ratio,Discount_Ratio,Purchase_Frequency,Browsing_Time_per_Order,Days_Since_Last_Purchase,Monetary_Value,Purchase_Frequency_RFM,Cluster
AB-00363,Mcintyre Yedwab,Home Office,Chile,South,Talcahuano,Biobio,Female,30,25-34,Master,Married,58,178.0,8960.0,4132.7,272.33,8687.67,413.6,0.0306896551724137,2022-01-15,2024-12-18,1068,49,18.73684210526316,Sneakers,21,22.74655172413793,39,39,46,124,5,14,5,34,8,4,7,4,7,5,5,5,3,4,3,3,154.48,71.25,3.07,0.4612,0.0462,0.0304,0.0543,22.75,13,8960.0,58,3
AB-00421,Whitney Yedwab,Corporate,Spain,South,Seville,Andalusía,Male,40,35-49,Master,Married,45,146.0,7840.0,3845.3,221.59,7618.41,384.6,0.0282222222222222,2022-01-20,2024-11-27,1042,42,23.681818181818183,Fossil Watch,23,12.93777777777778,17,13,23,53,5,16,3,21,5,3,1,5,4,2,4,5,6,3,3,4,174.22,85.45,3.24,0.4905,0.0491,0.0283,0.0432,12.94,34,7840.0,45,1
AB-004408,Cardenas Yedwab,Home Office,Panama,Central,San Miguelito,Panama,Female,25,25-34,Bachelor,Single,49,157.0,7747.0,3329.0,235.81,7511.19,332.7,0.0306122448979591,2022-01-20,2024-12-26,1071,45,22.3125,Casula Shoes,24,20.526530612244898,36,36,41,113,5,10,0,34,4,0,8,2,1,9,6,1,3,4,6,5,158.1,67.94,3.2,0.4297,0.0429,0.0304,0.0458,20.53,5,7747.0,49,3
AH-00722,Garza Elijah,Home Office,Brazil,South,Araçatuba,São Paulo,Female,21,18-24,Associate Degree,Single,52,163.0,8070.0,3742.1,219.59,7850.41,373.9,0.0271153846153846,2022-01-15,2024-12-21,1071,44,21.0,Formal Shoes,25,22.501923076923077,38,33,43,114,4,23,1,24,6,1,7,2,4,2,5,9,3,6,2,5,155.19,71.96,3.13,0.4637,0.0463,0.0272,0.0486,22.5,10,8070.0,52,3
AK-00157,Wyatt Pak,Home Office,China,North Asia,Ningbo,Zhejiang,Female,26,25-34,Bachelor,Single,62,179.0,9489.0,4387.2,271.7,9217.3,438.8,0.03,2022-01-15,2024-12-31,1081,48,17.721311475409838,Titak watch,26,20.42258064516129,48,44,53,145,8,10,5,39,6,6,6,3,6,4,3,4,3,6,9,6,153.05,70.76,2.89,0.4623,0.0462,0.0286,0.0574,20.42,0,9489.0,62,3
AK-003924,Baxter Pak,Home Office,United States,West,San Francisco,California,Female,53,50-64,Doctorate,Married,63,186.0,9742.0,4269.5,297.19,9444.81,427.1,0.0303174603174603,2022-02-15,2024-12-29,1048,52,16.903225806451612,Sports Wear,21,19.673015873015878,42,40,51,133,1,10,6,46,2,6,3,8,8,2,5,6,6,6,5,6,154.63,67.77,2.95,0.4383,0.0438,0.0305,0.0601,19.67,2,9742.0,63,3
AL-001726,Henson Rozendal,Consumer,United States,Central,Eau Claire,Wisconsin,Male,46,35-49,Doctorate,Married,67,200.0,10193.0,4576.1,318.11,9874.89,457.9,0.0308955223880597,2022-01-19,2024-12-26,1072,54,16.242424242424242,Fossil Watch,32,11.84776119402985,29,19,40,88,0,29,8,30,4,11,7,4,5,3,8,6,5,4,4,6,152.13,68.3,2.99,0.4489,0.0449,0.0312,0.0625,11.85,5,10193.0,67,2
AL-00484,Whitaker Nazzal,Consumer,United States,Central,El Paso,Texas,Female,22,18-24,Associate Degree,Married,55,159.0,7694.0,3342.3,238.95,7455.05,333.8,0.0301818181818181,2022-01-21,2024-12-17,1061,50,19.64814814814815,Suits,24,22.581818181818186,38,39,46,123,3,17,0,35,6,5,7,2,4,3,3,3,5,6,6,5,139.89,60.77,2.89,0.4344,0.0434,0.0311,0.0518,22.58,14,7694.0,55,3
AM-001077,Hawkins Coram,Consumer,Japan,North Asia,Nishinomiya,Hyogo,Female,44,35-49,Master,Single,56,180.0,8882.0,4153.7,246.73,8635.27,415.1,0.0276785714285714,2022-01-16,2024-12-27,1076,53,19.563636363636363,Sports Wear,23,22.230357142857144,42,36,47,125,5,14,7,30,1,5,4,6,2,4,5,5,5,4,8,7,158.61,74.17,3.21,0.4677,0.0467,0.0278,0.052,22.23,4,8882.0,56,3
AM-00129,Watkins Cunningham,Corporate,Germany,Central,Iserlohn,North Rhine-Westphalia,Male,30,25-34,Bachelor,Married,61,193.0,10498.0,4991.6,325.15000000000003,10172.85,499.1,0.0311475409836065,2022-02-15,2024-12-13,1032,55,17.2,Jeans,26,13.757377049180327,21,18,37,76,5,13,0,43,4,6,6,6,8,4,5,3,6,7,3,3,172.1,81.83,3.16,0.4755,0.0475,0.031,0.0591,13.76,18,10498.0,61,1
AM-001293,Kennedy Cheatham,Home Office,Canada,Canada,Whitby,Ontario,Female,32,25-34,Bachelor,Married,56,169.0,9166.0,4280.1,287.99,8878.01,428.2,0.0317857142857142,2022-02-15,2024-12-15,1034,46,18.8,Formal Shoes,21,19.701785714285712,41,37,41,119,0,9,7,40,0,6,5,5,4,3,4,7,3,3,6,10,163.68,76.43,3.02,0.467,0.0467,0.0314,0.0542,19.7,16,9166.0,56,3
AM-001606,Barry Willingham,Corporate,Mexico,North,Saltillo,Coahuila,Male,26,25-34,Bachelor,Married,68,200.0,11045.0,5076.1,321.66,10723.34,507.7,0.0301470588235294,2022-01-20,2024-12-30,1075,59,16.044776119402986,T - Shirts,26,15.469117647058823,21,19,32,72,6,16,2,44,7,3,6,6,4,6,4,9,7,2,5,9,162.43,74.65,2.94,0.4596,0.046,0.0291,0.0633,15.47,1,11045.0,68,2
AM-0021,Barr Sundaresam,Consumer,India,Central Asia,Bhopal,Madhya Pradesh,Male,42,35-49,Doctorate,Married,59,182.0,9498.0,4254.8,268.35,9229.65,425.3,0.0284745762711864,2022-01-20,2024-11-22,1037,50,17.879310344827587,Suits,26,14.15084745762712,22,26,30,78,8,18,2,31,6,3,6,6,3,7,7,4,5,3,6,3,160.98,72.12,3.08,0.448,0.0448,0.0283,0.0569,14.15,39,9498.0,59,4
AM-002270,Bauer Sundaresam,Consumer,Italy,South,Bologna,Emilia-Romagna,Male,30,25-34,Master,Married,52,168.0,7973.0,3680.0,245.22,7727.78,368.1,0.0311538461538461,2022-01-29,2024-12-20,1056,49,20.705882352941178,Sports Wear,28,11.878846153846156,17,16,28,61,5,13,10,24,1,3,4,3,5,2,7,5,3,11,4,4,153.33,70.77,3.23,0.4616,0.0462,0.0308,0.0492,11.88,11,7973.0,52,1
AM-005401,Lucas Gillingham,Home Office,Nigeria,Africa,Gombe,Gombe,Female,25,25-34,Bachelor,Married,77,193.0,12608.0,6597.099999999999,352.09000000000003,12255.91,660.3,0.0272727272727272,2022-01-23,2024-11-30,1042,62,13.710526315789474,Running Shoes,29,19.527272727272727,54,54,61,169,6,21,0,50,9,2,9,6,10,4,9,2,9,7,7,3,163.74,85.68,2.51,0.5232,0.0524,0.0279,0.0739,19.53,31,12608.0,77,0
AM-00548,Mckee Sundaresam,Home Office,China,North Asia,Mianyang,Sichuan,Male,20,18-24,High School,Married,85,233.0,12715.0,5756.0,398.24,12316.76,575.7,0.0314117647058823,2022-01-15,2024-12-30,1080,69,12.857142857142858,Running Shoes,33,12.830588235294115,35,33,48,116,10,24,2,49,7,8,8,5,5,7,9,4,7,8,7,10,149.59,67.72,2.74,0.4527,0.0453,0.0313,0.0787,12.83,1,12715.0,85,2
AM-006576,Ochoa Willingham,Consumer,Russia,EMEA,Bryansk,Bryansk,Female,23,18-24,High School,Single,48,144.0,7313.0,3449.7,199.75,7113.25,345.2,0.02875,2022-01-18,2024-11-27,1044,42,22.21276595744681,Sneakers,19,21.922916666666666,34,28,38,100,4,7,0,37,4,3,2,6,4,3,5,4,4,5,7,1,152.35,71.87,3.0,0.4717,0.0472,0.0273,0.046,21.92,34,7313.0,48,3
AM-00720,Jacobson Willingham,Consumer,Spain,South,Madrid,Madrid,Female,22,18-24,Bachelor,Single,46,136.0,6726.0,2826.2,203.58,6522.42,282.8,0.0304347826086956,2022-02-13,2024-10-15,975,42,21.666666666666668,Casula Shoes,23,23.61086956521739,31,32,35,98,0,27,3,16,3,5,4,5,4,2,3,4,3,5,4,4,146.22,61.44,2.96,0.4202,0.042,0.0303,0.0472,23.61,77,6726.0,46,4
AN-001066,Reeves Herman,Corporate,United States,West,San Francisco,California,Male,22,18-24,High School,Married,51,132.0,8543.0,4313.8,246.24,8296.76,431.8,0.0286274509803921,2022-01-15,2024-12-24,1074,47,21.48,T - Shirts,21,13.454901960784314,14,17,23,54,2,17,4,28,3,1,4,7,6,3,1,7,5,3,3,8,167.51,84.58,2.59,0.505,0.0505,0.0288,0.0475,13.45,7,8543.0,51,1
AN-001125,Woodward Van,Consumer,China,North Asia,Xintai,Shandong,Male,20,18-24,High School,Single,58,181.0,8659.0,4137.4,251.9,8407.1,413.9,0.0293103448275862,2022-02-15,2024-12-15,1034,52,18.140350877192983,T - Shirts,29,13.096551724137932,21,26,32,79,12,17,1,28,1,3,5,4,6,5,3,4,12,5,7,3,149.29,71.33,3.12,0.4778,0.0478,0.0291,0.0561,13.1,16,8659.0,58,1
AN-001309,Vincent Peterman,Home Office,Mexico,North,Puebla,Puebla,Female,21,18-24,Associate Degree,Single,66,179.0,10006.0,4576.7,300.44,9705.56,457.7,0.0301515151515151,2022-01-15,2024-12-15,1065,50,16.384615384615383,Fossil Watch,25,22.689393939393938,49,52,54,155,9,22,0,35,9,5,0,7,6,8,8,5,3,4,5,6,151.61,69.34,2.71,0.4574,0.0457,0.03,0.062,22.69,16,10006.0,66,3
AN-001347,Finley Van,Consumer,United Kingdom,North,Liverpool,England,Female,30,25-34,Bachelor,Single,55,165.0,8520.0,4056.9,246.49,8273.51,405.8,0.0294545454545454,2022-01-15,2024-12-25,1075,48,19.90740740740741,Shirts,20,21.31090909090909,45,44,46,135,2,13,0,40,7,3,6,4,6,5,7,5,3,3,4,2,154.91,73.76,3.0,0.4762,0.0476,0.0289,0.0512,21.31,6,8520.0,55,3
AN-001393,Barrett Gayman,Home Office,United States,Central,Dallas,Texas,Male,40,35-49,Doctorate,Married,66,188.0,10389.0,5151.5,318.48,10070.52,515.1,0.0316666666666666,2022-01-19,2024-10-18,1003,51,15.430769230769233,Running Shoes,31,13.795454545454543,32,29,36,97,14,30,9,13,7,6,6,3,5,7,4,9,10,4,1,4,157.41,78.05,2.85,0.4959,0.0496,0.0307,0.0658,13.8,74,10389.0,66,4
AN-0014,Johnson Abelman,Corporate,Democratic Republic of the Congo,Africa,Kamina,Katanga,Male,37,35-49,Doctorate,Married,56,158.0,9079.0,4135.7,307.03,8771.97,413.6,0.0341071428571428,2022-01-15,2024-11-30,1050,44,19.09090909090909,Fossil Watch,27,13.021428571428572,24,21,33,78,7,8,0,41,10,1,3,7,4,2,4,6,2,4,9,4,162.12,73.85,2.82,0.4555,0.0456,0.0338,0.0533,13.02,31,9079.0,56,1
AN-001466,Hughes Brockman,Consumer,Iraq,EMEA,Baghdad,Baghdad,Female,26,25-34,Associate Degree,Married,69,213.0,11465.0,5296.9,372.84,11092.16,529.5,0.0320289855072463,2022-01-15,2024-12-19,1069,59,15.720588235294118,Fossil Watch,26,22.271014492753626,47,47,54,148,2,13,7,47,7,5,6,4,2,7,6,5,9,4,9,5,166.16,76.77,3.09,0.462,0.0462,0.0325,0.0645,22.27,12,11465.0,69,0
AN-00159,Blevins Thurman,Consumer,France,Central,Antony,Ile-de-France,Female,22,18-24,High School,Single,75,235.0,12921.0,6373.1,389.29,12531.71,637.4,0.0302666666666666,2022-01-15,2024-12-24,1074,63,14.513513513513514,Running Shoes,27,22.786666666666665,50,54,60,164,2,29,0,44,7,6,6,4,7,6,5,12,4,4,6,8,172.28,84.97,3.13,0.4932,0.0493,0.0301,0.0698,22.79,7,12921.0,75,0
AN-001623,Lang Oakman,Corporate,Australia,Oceania,Launceston,Tasmania,Female,32,25-34,Bachelor,Married,57,171.0,8485.0,3867.2,254.6,8230.4,386.5,0.0296491228070175,2022-01-15,2024-12-15,1065,49,19.017857142857142,T - Shirts,21,20.95263157894737,44,47,48,139,0,19,0,38,8,4,7,3,7,5,6,2,0,5,7,3,148.86,67.85,3.0,0.4558,0.0456,0.03,0.0535,20.95,16,8485.0,57,3
AN-001645,Morrison Edelman,Consumer,Mexico,North,Coyoacán,Distrito Federal,Male,47,35-49,Doctorate,Single,76,246.0,12191.0,5626.7,373.2,11817.8,562.8,0.03,2022-01-13,2024-12-19,1071,70,14.28,Casula Shoes,28,13.376315789473685,28,19,41,88,13,7,9,47,11,4,6,8,3,9,9,5,7,5,4,5,160.41,74.04,3.24,0.4615,0.0462,0.0306,0.071,13.38,12,12191.0,76,2
AN-00168,Haley Wasserman,Consumer,Cuba,Caribbean,Santiago de Cuba,Santiago de Cuba,Female,21,18-24,High School,Single,89,286.0,14623.0,7074.3,451.18,14171.82,707.0,0.0314606741573033,2022-01-15,2024-12-22,1072,75,12.181818181818182,Formal Shoes,32,22.364044943820225,57,51,70,178,6,28,8,47,9,7,8,10,2,6,8,10,9,7,5,8,164.3,79.49,3.21,0.4838,0.0483,0.0309,0.083,22.36,9,14623.0,89,0
AN-00170,Mason Chapman,Consumer,Poland,EMEA,Lublin,Lublin,Male,30,25-34,Master,Married,59,167.0,8651.0,3993.6,262.7,8388.3,399.4,0.0289830508474576,2022-01-15,2024-12-28,1078,52,18.58620689655172,Suits,25,13.103389830508474,29,19,33,81,5,14,1,39,7,6,1,7,2,6,4,4,7,3,2,10,146.63,67.69,2.83,0.4616,0.0462,0.0304,0.0547,13.1,3,8651.0,59,1
AN-00171,Savage Phan,Consumer,United States,East,Bethlehem,Pennsylvania,Male,33,25-34,Bachelor,Single,73,201.0,10547.0,4908.8,321.49,10225.51,491.0,0.0304109589041095,2022-02-16,2024-12-21,1039,60,14.430555555555555,T - Shirts,28,14.608219178082193,35,27,36,98,5,17,0,51,3,6,5,5,10,1,5,9,8,5,7,9,144.48,67.24,2.75,0.4654,0.0466,0.0305,0.0703,14.61,10,10547.0,73,2
AN-001851,Beasley Pawlan,Corporate,Canada,Canada,Montréal,Quebec,Male,25,25-34,Bachelor,Married,31,102.0,4249.0,1825.6,145.28,4103.72,182.6,0.0319354838709677,2022-01-14,2024-11-28,1049,29,34.96666666666667,Sneakers,22,14.016129032258064,15,9,12,36,1,8,0,22,3,4,1,2,2,2,4,2,2,5,3,1,137.06,58.89,3.29,0.4297,0.043,0.0342,0.0296,14.02,33,4249.0,31,1
AN-001900,Watson Bowman,Consumer,Mexico,North,Los Mochis,Sinaloa,Female,66,65+,Doctorate,Married,55,167.0,8794.0,4120.2,264.48,8529.52,412.1,0.0298181818181818,2022-01-15,2024-12-15,1065,46,19.72222222222222,Titak watch,25,20.010909090909088,38,40,43,121,7,8,4,36,7,2,8,5,2,7,5,6,1,4,4,4,159.89,74.91,3.04,0.4685,0.0469,0.0301,0.0516,20.01,16,8794.0,55,3
AN-001934,Bradford Noonan,Corporate,China,North Asia,Shanghai,Shanghai,Female,40,35-49,Master,Married,47,154.0,8096.0,3732.1,276.77,7819.23,373.1,0.0346808510638297,2022-01-15,2024-12-31,1081,40,23.5,Jeans,23,19.04042553191489,32,31,40,103,5,16,0,26,6,2,4,2,4,3,4,5,6,4,1,6,172.26,79.41,3.28,0.461,0.0461,0.0342,0.0435,19.04,0,8096.0,47,3
AN-00199,Cherry Workman,Home Office,New Zealand,Oceania,Masterton,Wellington,Female,21,18-24,High School,Married,72,213.0,11894.0,5596.1,370.42,11523.58,559.4,0.0313888888888888,2022-01-13,2024-12-23,1075,62,15.140845070422536,Fossil Watch,20,22.008333333333333,51,55,57,163,3,17,0,52,5,5,6,9,4,4,5,7,3,10,6,8,165.19,77.72,2.96,0.4705,0.047,0.0311,0.067,22.01,8,11894.0,72,0
AN-002013,Shields Phan,Consumer,Turkey,EMEA,Istanbul,Istanbul,Female,19,18-24,High School,Single,62,183.0,10356.0,5209.5,299.2,10056.8,520.8,0.0283870967741935,2022-01-15,2024-12-15,1065,53,17.459016393442624,Running Shoes,27,20.47258064516129,40,42,48,130,6,13,5,38,2,4,7,2,2,9,6,4,11,7,5,3,167.03,84.02,2.95,0.503,0.0503,0.0289,0.0582,20.47,16,10356.0,62,3
AN-00223,Gay Willman,Consumer,United States,West,San Francisco,California,Male,50,50-64,Doctorate,Married,83,224.0,12892.0,6199.4,375.86,12516.14,620.1,0.0295180722891566,2022-01-15,2024-12-15,1065,73,12.98780487804878,Formal Shoes,30,13.334939759036144,31,28,44,103,4,33,2,44,4,7,6,5,10,6,10,10,8,6,5,6,155.33,74.69,2.7,0.4809,0.0481,0.0292,0.0779,13.33,16,12892.0,83,2
AN-002332,Chapman Donovan,Consumer,Japan,North Asia,Funabashi,Chiba,Female,25,25-34,Bachelor,Married,52,159.0,8405.0,4013.1,235.41,8169.59,400.9,0.028076923076923,2022-02-24,2024-12-23,1033,43,20.254901960784316,T - Shirts,22,22.584615384615383,39,33,43,115,2,17,0,33,8,3,5,5,4,3,5,4,1,7,2,5,161.63,77.18,3.06,0.4775,0.0477,0.028,0.0503,22.58,8,8405.0,52,3
AN-002431,Ashley Tran,Consumer,Australia,Oceania,Caloundra,Queensland,Female,19,18-24,Associate Degree,Married,43,136.0,6694.0,3124.6,194.04,6499.96,312.4,0.03,2022-01-15,2024-12-30,1080,34,25.714285714285715,Sneakers,18,22.548837209302327,30,32,35,97,2,11,9,21,3,4,7,3,0,0,4,4,2,3,7,6,155.67,72.67,3.16,0.4668,0.0467,0.029,0.0398,22.55,1,6694.0,43,3
AN-00256,Pennington Van,Corporate,France,Central,Saint-Denis,Ile-de-France,Male,29,25-34,Master,Married,88,253.0,13396.0,6169.7,395.82,13000.18,616.5,0.0297727272727272,2022-01-15,2024-12-15,1065,73,12.241379310344827,Fossil Watch,33,13.44431818181818,36,32,48,116,6,38,2,42,9,6,11,8,7,8,5,6,4,4,14,6,152.23,70.11,2.88,0.4606,0.046,0.0295,0.0826,13.44,16,13396.0,88,2
AN-002709,Valentine Wasserman,Corporate,United States,Central,Indianapolis,Indiana,Male,21,18-24,High School,Single,55,167.0,8949.0,4244.6,265.08,8683.92,424.3,0.03,2022-02-15,2024-12-29,1048,48,19.40740740740741,Titak watch,26,11.405454545454544,17,12,30,59,1,22,0,32,8,4,5,9,3,4,2,5,5,5,1,4,162.71,77.17,3.04,0.4743,0.0474,0.0296,0.0525,11.41,2,8949.0,55,1
AN-002768,Powell Brennan,Corporate,Honduras,Central,Tegucigalpa,Francisco Morazán,Female,20,18-24,Associate Degree,Single,58,198.0,9345.0,4163.4,301.55,9043.45,416.1,0.0308620689655172,2022-01-13,2024-12-15,1067,48,18.719298245614038,Jeans,23,22.429310344827588,38,36,46,120,8,19,6,25,4,5,7,6,5,7,3,6,3,5,4,3,161.12,71.78,3.41,0.4455,0.0445,0.0323,0.0544,22.43,16,9345.0,58,3
AN-00300,Atkinson Ryan,Corporate,China,North Asia,Shanghai,Shanghai,Female,33,25-34,Bachelor,Married,73,215.0,9936.0,4409.6,259.1,9676.9,440.9,0.0264383561643835,2022-01-19,2024-12-24,1070,57,14.86111111111111,Umbrellas,29,21.15890410958904,53,47,56,156,10,32,1,30,10,9,5,6,3,4,3,7,7,1,12,6,136.11,60.41,2.95,0.4438,0.0444,0.0261,0.0682,21.16,7,9936.0,73,0
AN-0032,Perry Brennan,Consumer,Bangladesh,Central Asia,Tongi,Dhaka,Female,19,18-24,Associate Degree,Married,64,194.0,10405.0,4832.4,315.31,10089.69,483.7,0.03,2022-01-19,2024-11-30,1046,52,16.603174603174605,Titak watch,24,18.371875,42,42,52,136,0,32,7,25,6,6,2,4,4,10,5,8,4,3,10,2,162.58,75.51,3.03,0.4644,0.0465,0.0303,0.0612,18.37,31,10405.0,64,3
AN-003490,Chen Tillman,Consumer,Mexico,North,Ixtapaluca,México,Female,33,25-34,Bachelor,Married,45,123.0,6869.0,3015.5,228.59,6640.41,301.8,0.0317777777777777,2022-01-18,2024-12-27,1074,36,24.40909090909091,Suits,20,20.184444444444445,32,28,36,96,1,12,6,26,3,5,6,2,4,6,1,6,1,3,2,6,152.64,67.01,2.73,0.439,0.0439,0.0333,0.0419,20.18,4,6869.0,45,3
AN-00366,Mack Hoffman,Consumer,India,Central Asia,Hyderabad,Telangana,Male,43,35-49,Doctorate,Single,44,133.0,6781.0,3108.8,219.83,6561.17,310.9,0.0318181818181818,2022-01-15,2024-11-23,1043,39,24.25581395348837,Formal Shoes,30,13.220454545454546,18,16,24,58,1,14,2,27,3,4,2,7,2,5,6,8,1,2,2,2,154.11,70.65,3.02,0.4585,0.0458,0.0324,0.0422,13.22,38,6781.0,44,1
AN-003684,Buckley Wasserman,Corporate,Turkey,EMEA,Adana,Adana,Female,28,25-34,Bachelor,Single,67,198.0,10943.0,5229.3,341.55,10601.45,523.1,0.0317910447761194,2022-01-22,2024-12-22,1065,54,16.136363636363637,T - Shirts,29,21.12686567164179,46,40,53,139,8,23,1,35,3,5,5,4,8,5,9,6,8,3,4,7,163.33,78.05,2.96,0.4779,0.0478,0.0312,0.0629,21.13,9,10943.0,67,0
