Customer_ID,Customer_Name,Total_Orders,Total_Sales,Avg_Order_Value,Customer_Lifetime_Days,Days_Since_Last_Purchase,Ref_Date,Last_Purchase_Date,Pref_Order_Month,Purchase_Frequency,Avg_Browsing_Time,Unique_Products_Purchased,Favorite_Product,Favorite_Top3,Total_Likes,Total_Shares,Total_Add_to_Cart,Total_Engagement_Score,R_Recency_Days_MM,R_Avg_Interval_Days_MM,F_Orders_30d_MM,F_Orders_90d_MM,M_Sales_30d_MM,M_AOV_30d_MM,M_Sales_Var_90d_MM,B_Browse_Count_30d_MM,B_Avg_Browse_Time_30d_MM,B_Depth_30d_MM,C_Top1_Ratio_MM,C_Top3_Coverage_MM,Cluster,Cluster_Label
AB-00363,Mcintyre Yedwab,58.0,8960.0,154.48275862068965,1068.0,13.0,2024-12-31,2024-12-18,1,0.054307116104868915,22.74655172413793,21.0,Fashion,Fashion:69.0%、Home & Furniture:20.7%、Auto & Accessories:10.3%,39.0,39.0,46.0,124.0,0.8785046728971962,0.6918513619476365,0.125,0.21428571428571427,0.031652989449003514,0.09259259259259262,0.45836141883867465,0.125,0.97,0.16666666666666666,0.6486486486486487,1.0,4,低价值潜在流失客户群
AB-00421,Whitney Yedwab,45.0,7840.0,174.22222222222223,1042.0,34.0,2024-12-31,2024-11-27,9,0.04318618042226487,12.937777777777779,23.0,Fashion,Fashion:62.2%、Auto & Accessories:17.8%、Home & Furniture:15.6%,17.0,13.0,23.0,53.0,0.6822429906542056,0.5155561036612015,0.0,0.07142857142857142,0.0,0.6491769547325104,0.0,0.0,0.0,0.0,0.5341341341341341,0.7555555555555555,3,中等价值客户群
AB-004408,Cardenas Yedwab,49.0,7747.0,158.10204081632654,1071.0,5.0,2024-12-31,2024-12-26,6,0.0457516339869281,20.526530612244898,24.0,Fashion,Fashion:67.3%、Home & Furniture:20.4%、Auto & Accessories:6.1%,36.0,36.0,41.0,113.0,0.9532710280373832,0.5643741967728118,0.125,0.42857142857142855,0.07151230949589683,0.4074074074074074,0.28000259767597574,0.125,0.9650000000000001,0.16666666666666666,0.6211619783048354,0.6632653061224492,4,低价值潜在流失客户群
AH-00722,Garza Elijah,52.0,8070.0,155.19230769230768,1071.0,10.0,2024-12-31,2024-12-21,8,0.04855275443510738,22.501923076923074,25.0,Fashion,Fashion:53.8%、Home & Furniture:30.8%、Auto & Accessories:11.5%,38.0,33.0,43.0,114.0,0.9065420560747663,0.6111666428673426,0.25,0.2857142857142857,0.17467760844079716,0.5324074074074074,0.24246394045051764,0.25,0.77875,0.3333333333333333,0.3918918918918919,0.7884615384615383,4,低价值潜在流失客户群
AK-00157,Wyatt Pak,62.0,9489.0,153.0483870967742,1081.0,0.0,2024-12-31,2024-12-31,11,0.05735430157261795,20.42258064516129,26.0,Fashion,Fashion:71.0%、Home & Furniture:14.5%、Electronic:8.1%,48.0,44.0,53.0,145.0,1.0,0.7280564379512606,0.25,0.42857142857142855,0.24267291910902694,0.8009259259259258,0.43987313189401184,0.25,0.3375,0.3333333333333333,0.6826503923278118,0.6451612903225801,1,低价值客户群
AK-003924,Baxter Pak,63.0,9742.0,154.63492063492063,1048.0,2.0,2024-12-31,2024-12-29,4,0.060114503816793896,19.673015873015874,21.0,Fashion,Fashion:81.0%、Auto & Accessories:7.9%、Home & Furniture:7.9%,42.0,40.0,51.0,133.0,0.9813084112149533,0.7572223271439738,0.25,0.2857142857142857,0.2092614302461899,0.6689814814814814,0.381079065642824,0.25,0.44875,0.3333333333333333,0.8522093522093521,0.8253968253968251,1,低价值客户群
AL-001726,Henson Rozendal,67.0,10193.0,152.13432835820896,1072.0,5.0,2024-12-31,2024-12-26,2,0.0625,11.84776119402985,32.0,Fashion,Fashion:56.7%、Electronic:16.4%、Auto & Accessories:14.9%,29.0,19.0,40.0,88.0,0.9532710280373832,0.7807808197641126,0.375,0.3571428571428571,0.2854630715123095,0.5941358024691359,0.195915647190815,0.375,0.35500000000000004,0.5,0.44063466451526145,0.3432835820895521,2,中高价值客户群
AL-00484,Whitaker Nazzal,55.0,7694.0,139.8909090909091,1061.0,14.0,2024-12-31,2024-12-17,3,0.051837888784165884,22.581818181818182,24.0,Home & Furniture,Home & Furniture:47.3%、Fashion:43.6%、Auto & Accessories:7.3%,38.0,39.0,46.0,123.0,0.8691588785046729,0.65936203708111,0.25,0.42857142857142855,0.07854630715123094,0.1527777777777778,0.528543457700803,0.25,0.9625,0.16666666666666666,0.2802620802620802,0.9000000000000004,4,低价值潜在流失客户群
AM-001077,Hawkins Coram,56.0,8882.0,158.60714285714286,1076.0,4.0,2024-12-31,2024-12-27,11,0.05204460966542751,22.230357142857144,23.0,Fashion,Fashion:67.9%、Home & Furniture:19.6%、Auto & Accessories:12.5%,42.0,36.0,47.0,125.0,0.9626168224299065,0.6623749994591064,0.25,0.3571428571428571,0.2010550996483001,0.636574074074074,0.20351734284620193,0.25,0.53,0.3333333333333333,0.6298262548262548,1.0,1,低价值客户群
AM-00129,Watkins Cunningham,61.0,10498.0,172.0983606557377,1032.0,18.0,2024-12-31,2024-12-13,5,0.05910852713178295,13.757377049180329,26.0,Fashion,Fashion:54.1%、Home & Furniture:26.2%、Auto & Accessories:18.0%,21.0,18.0,37.0,76.0,0.8317757009345794,0.7466419153696036,0.125,0.21428571428571427,0.13012895662368112,0.8703703703703702,0.02178464818285847,0.125,0.23750000000000002,0.16666666666666666,0.39617486338797825,0.9098360655737707,1,低价值客户群
AM-001293,Kennedy Cheatham,56.0,9166.0,163.67857142857142,1034.0,16.0,2024-12-31,2024-12-15,12,0.05415860735009671,19.701785714285712,21.0,Fashion,Fashion:67.9%、Home & Furniture:19.6%、Auto & Accessories:12.5%,41.0,37.0,41.0,119.0,0.8504672897196262,0.6895996953686516,0.25,0.2857142857142857,0.11664712778429073,0.30324074074074076,0.07486681312184666,0.25,0.7050000000000001,0.3333333333333333,0.6298262548262548,1.0,4,低价值潜在流失客户群
AM-001606,Barry Willingham,68.0,11045.0,162.4264705882353,1075.0,1.0,2024-12-31,2024-12-30,8,0.06325581395348837,15.469117647058825,26.0,Fashion,Fashion:51.5%、Home & Furniture:26.5%、Auto & Accessories:22.1%,21.0,19.0,32.0,72.0,0.9906542056074766,0.7878272495867087,0.5,0.5714285714285714,0.4079718640093786,0.6481481481481481,0.5155877353863931,0.5,0.47125000000000006,0.5,0.35155007949125583,1.0,0,高价值客户群
AM-0021,Barr Sundaresam,59.0,9498.0,160.98305084745763,1037.0,39.0,2024-12-31,2024-11-22,6,0.05689488910318226,14.150847457627119,26.0,Fashion,Fashion:55.9%、Auto & Accessories:27.1%、Home & Furniture:15.3%,22.0,26.0,30.0,78.0,0.6355140186915889,0.7224235590329924,0.0,0.21428571428571427,0.0,0.5878844946641557,0.37922486244633896,0.0,0.0,0.0,0.4273171476561306,0.906779661016949,3,中等价值客户群
AM-002270,Bauer Sundaresam,52.0,7973.0,153.32692307692307,1056.0,11.0,2024-12-31,2024-12-20,10,0.04924242424242424,11.878846153846155,28.0,Fashion,Fashion:57.7%、Home & Furniture:19.2%、Auto & Accessories:11.5%,17.0,16.0,28.0,61.0,0.897196261682243,0.6216523450734,0.125,0.6428571428571428,0.13364595545134816,0.8981481481481481,0.5943827662279896,0.125,0.3325,0.16666666666666666,0.4572072072072071,0.365384615384615,2,中高价值客户群
AM-005401,Lucas Gillingham,77.0,12608.0,163.74025974025975,1042.0,31.0,2024-12-31,2024-11-30,5,0.07389635316698656,19.527272727272727,29.0,Fashion,Fashion:57.1%、Home & Furniture:20.8%、Electronic:13.0%,54.0,54.0,61.0,169.0,0.7102803738317758,0.8710464938585218,0.0,0.5,0.0,0.6006493506493507,0.17977599569162367,0.0,0.0,0.0,0.44787644787644787,0.5,3,中等价值客户群
